tiempo,linear,Insectos,Mamiferos,Seres_humanos,Singularidad
19400101,1,22.1034183615,0.2762927295,0.1381463648,0.5
19410101,2,24.4280551632,0.3053506895,0.1526753448,0.0613983843
19420101,3,26.9971761515,0.3374647019,0.1687323509,0.0678557088
19430101,4,29.8364939528,0.3729561744,0.1864780872,0.074992156
19440101,5,32.974425414,0.4121803177,0.2060901588,0.0828791499
19450101,6,36.4423760078,0.4555297001,0.22776485,0.0915956262
19460101,7,40.2750541494,0.5034381769,0.2517190884,0.1012288222
19470101,8,44.5108185698,0.5563852321,0.2781926161,0.1118751504
19480101,9,49.1920622231,0.6149007778,0.3074503889,0.1236411627
19490101,10,54.3656365692,0.6795704571,0.3397852286,0.1366446173
19500101,11,60.0833204789,0.751041506,0.375520753,0.1510156571
19510101,12,66.4023384547,0.8300292307,0.4150146153,0.1668981124
19520101,13,73.3859333524,0.9173241669,0.4586620835,0.1844509402
19530101,14,81.1039993369,1.0137999917,0.5068999959,0.2038498149
19540101,15,89.6337814068,1.1204222676,0.5602111338,0.225288887
19550101,16,99.0606484879,1.2382581061,0.619129053,0.2489827261
19560101,17,109.4789478345,1.3684868479,0.684243424,0.275168468
19570101,18,120.9929492883,1.5124118661,0.7562059331,0.3041081884
19580101,19,133.7178888456,1.6714736106,0.8357368053,0.3360915258
19590101,20,147.7811219786,1.8472640247,0.9236320124,0.3714385801
19600101,21,163.3233982514,2.0415424781,1.0207712391,0.4105031166
19610101,22,180.5002699887,2.2562533749,1.1281266874,0.4536761063
19620101,23,199.4836490963,2.4935456137,1.2467728069,0.5013896389
19630101,24,220.4635276128,2.7557940952,1.3778970476,0.5541212475
19640101,25,243.6498792141,3.0456234902,1.5228117451,0.6123986878
19650101,26,269.2747607,3.3659345088,1.6829672544,0.67680522
19660101,27,297.5946344975,3.7199329312,1.8599664656,0.7479854464
19670101,28,328.8929354219,4.1111616928,2.0555808464,0.8266517625
19680101,29,363.4829073889,4.5435363424,2.2717681712,0.9135914873
19690101,30,401.7107384638,5.0213842308,2.5106921154,1.0096747427
19700101,31,443.9590256288,5.5494878204,2.7747439102,1.1158631624
19710101,32,490.6506039422,6.1331325493,3.0665662746,1.2332195156
19720101,33,542.2527784132,6.7781597302,3.3890798651,1.3629183443
19730101,34,599.2820009479,7.4910250118,3.7455125059,1.5062577178
19740101,35,662.3090391738,8.2788629897,4.1394314948,1.6646722249
19750101,36,731.9646888736,9.1495586109,4.5747793055,1.839747331
19760101,37,808.9460872013,10.11182609,5.055913045,2.0332352469
19770101,38,894.023689866,11.1752961233,5.5876480617,2.2470724644
19780101,39,988.0489821106,12.3506122764,6.1753061382,2.4833991385
19790101,40,1091.9630006629,13.6495375083,6.8247687541,2.7445805059
19800101,41,1206.8057519472,15.0850718993,7.5425359497,3.0332305574
19810101,42,1333.7266208185,16.6715827602,8.3357913801,3.3522381999
19820101,43,1473.9958739919,18.4249484249,9.2124742124,3.7047961689
19830101,44,1629.0173732994,20.3627171662,10.1813585831,4.0944329833
19840101,45,1800.3426260104,22.5042828251,11.2521414126,4.5250482592
19850101,46,1989.6863128387,24.8710789105,12.4355394552,5.0009517389
19860101,47,2198.9434490425,27.486793113,13.7433965565,5.5269064246
19870101,48,2430.2083503747,30.3776043797,15.1888021898,6.1081762473
19880101,49,2685.7955936987,33.5724449212,16.7862224606,6.750578751
19890101,50,2968.2631820515,37.1032897756,18.5516448878,7.4605433158
19900101,51,3280.438145998,41.005476825,20.5027384125,8.2451755057
19910101,52,3625.444837503,45.3180604688,22.6590302344,9.1123281833
19920101,53,4006.7361994958,50.0842024937,25.0421012468,10.0706801042
19930101,54,4428.1283240837,55.351604051,27.6758020255,11.1298227764
19940101,55,4893.8386452844,61.1729830661,30.586491533,12.3003564558
19950101,56,5408.5281485231,67.6066018565,33.8033009283,13.5939962369
19960101,57,5977.3480193412,74.7168502418,37.3584251209,15.0236893015
19970101,58,6605.991198193,82.5748899774,41.2874449887,16.6037444982
19980101,59,7300.7493573066,91.2593669663,45.6296834832,18.3499755505
19990101,60,8068.5758698547,100.8571983732,50.4285991866,20.2798593259
20000101,61,8917.1554016503,111.4644425206,55.7322212603,22.4127107496
20010101,62,9854.9808218651,123.1872602733,61.5936301367,24.7698761157
20020101,63,10891.4382025186,136.1429775315,68.0714887657,27.3749467274
20030101,64,12036.9007574416,150.461259468,75.230629734,30.253995007
20040101,65,13302.8326608872,166.2854082611,83.1427041305,33.4358354373
20050101,66,14701.9037848395,183.7737973105,91.8868986552,36.9523129469
20060101,67,16248.1165033509,203.1014562919,101.5507281459,40.8386216246
20070101,68,17956.9458330084,224.4618229126,112.2309114563,45.1336569538
20080101,69,19845.4943121005,248.0686789013,124.0343394506,49.8804050917
20090101,70,21932.6631685692,274.1582896071,137.0791448036,55.1263730892
20100101,71,NaN,302.9917686231,151.4958843116,60.9240643571
20110101,72,NaN,334.8576910986,167.4288455493,67.3315041385
20120101,73,NaN,370.0749818961,185.0374909481,74.4128202441
20130101,74,NaN,408.996107499,204.4980537495,82.2388848658
20140101,75,NaN,452.010603614,226.005301807,90.8880238887
20150101,76,NaN,499.548973776,249.774486888,100.4468008031
20160101,77,NaN,552.0869979718,276.0434989859,111.0108830613
20170101,78,NaN,610.1504944061,305.0752472031,122.6859995493
20180101,79,NaN,674.3205820671,337.1602910336,135.5889987569
20190101,80,NaN,745.2394967604,372.6197483802,149.8490182371
20200101,81,NaN,823.617018821,411.8085094105,165.6087770579
20210101,82,NaN,910.2375768331,455.1187884165,183.0260041824
20220101,83,NaN,1005.9680984556,502.9840492278,202.275017074
20230101,84,NaN,1111.766686925,555.8833434625,223.5484663235
20240101,85,NaN,1228.6922100748,614.3461050374,247.0592637611
20250101,86,NaN,1357.9148978407,678.9574489204,273.04271335
20260101,87,NaN,1500.7280543153,750.3640271576,301.7588661868
20270101,88,NaN,1658.5610015695,829.2805007847,333.4951231812
20280101,89,NaN,1832.993384789,916.4966923945,368.5691114599
20290101,90,NaN,2025.7709818939,1012.8854909469,407.3318632864
20300101,91,NaN,2238.8231758706,1119.4115879353,450.1713293097
20310101,92,NaN,2474.282264686,1237.141132343,497.5162613046
20320101,93,NaN,2734.5048020413,1367.2524010207,549.8405032636
20330101,94,NaN,3022.0951825543,1511.0475912771,607.667733787
20340101,95,NaN,3339.9317074155,1669.9658537077,671.5767072343
20350101,96,NaN,3691.1953913943,1845.5976956972,742.2070460923
20360101,97,NaN,4079.4017995039,2039.7008997519,820.2656425321
20370101,98,NaN,4508.4362319571,2254.2181159786,906.5337332231
20380101,99,NaN,4982.5926095576,2491.2963047788,1001.8747182127
20390101,100,NaN,5506.6164487017,2753.3082243508,1107.2428021239
20400101,101,NaN,6085.7523561021,3042.8761780511,1223.6925441559
20410101,102,NaN,6725.7965185744,3362.8982592872,1352.3894124671
20420101,103,NaN,7433.1547132229,3716.5773566114,1494.6214485721
20430101,104,NaN,8214.9064186108,4107.4532093054,1651.812158494
20440101,105,NaN,9078.8756685617,4539.4378342808,1825.5347596913
20450101,106,NaN,10033.7093577189,5016.8546788595,2017.527926347
20460101,107,NaN,11088.9637825745,5544.4818912872,2229.7131906042
20470101,108,NaN,12255.2002840954,6127.6001420477,2464.2141739054
20480101,109,NaN,13544.0909491747,6772.0454745873,2723.3778409101
20490101,110,NaN,14968.5354287995,7484.2677143997,3009.7979887055
20500101,111,NaN,16542.7900420941,8271.3950210471,3326.3412063999
20510101,112,NaN,18282.6104583539,9141.305229177,3676.1755649098
20520101,113,NaN,20205.4093850784,10102.7046925392,4062.8023240786
20530101,114,NaN,22330.4308402014,11165.2154201007,4490.0909744619
20540101,115,NaN,24678.9427526901,12339.4713763451,4962.3179644892
20550101,116,NaN,27274.4498191269,13637.2249095634,5484.2095005978
20560101,117,NaN,30142.9287466127,15071.4643733063,6060.9888486949
20570101,118,NaN,33313.0882363828,16656.5441181914,6698.4286103584
20580101,119,NaN,36816.6563101382,18408.3281550691,7402.908496974
20590101,120,NaN,40688.697854751,20344.3489273755,8181.4791800307
20600101,121,NaN,44967.9655634378,22483.9827817189,9041.9328566113
20610101,122,NaN,49697.2877857387,24848.6438928693,9992.8812363195
20620101,123,NaN,54923.9971680345,27461.9985840172,11043.8417301642
20630101,124,NaN,60700.4043745809,30350.2021872905,12205.3327040077
20640101,125,NaN,67084.3216302186,33542.1608151093,13488.9787499069
20650101,126,NaN,74139.6413245507,37069.8206622753,14907.6270289375
20660101,127,NaN,81936.975468453,40968.4877342265,16475.4758499002
20670101,128,NaN,90554.362402812,45277.181201406,18208.2167707673
20680101,129,NaN,100078.047832471,50039.0239162353,20123.1916450693
20690101,130,NaN,110603.34800223,55301.6740011151,22239.5661849935
20700101,131,NaN,NaN,61117.8018269325,24578.5217782734
20710101,132,NaN,NaN,67545.6171558366,27163.4674786367
20720101,133,NaN,NaN,74649.4517241021,30020.2742914829
20730101,134,NaN,NaN,82500.4030957696,33177.5340996009
20740101,135,NaN,NaN,91177.0462309627,36666.845820342
20750101,136,NaN,NaN,100766.219890499,40523.1316582056
